Wind power SE in MWh;;;;;;
Data was last updated 24-09-2018;;;;;;
;Hours;SE1;SE2;SE3;SE4;SE
23.01.2018;04 - 05;45;185;364;179;
23.01.2018;05 - 06;40;215;482;181;
23.01.2018;06 - 07;43;221;580;215;
23.01.2018;07 - 08;45;231;679;314;
23.01.2018;08 - 09;54;272;774;364;
23.01.2018;09 - 10;60;328;860;358;
23.01.2018;10 - 11;75;366;879;430;
23.01.2018;11 - 12;75;425;914;458;
23.01.2018;12 - 13;76;474;906;494;
23.01.2018;13 - 14;53;487;956;514;
23.01.2018;14 - 15;24;519;1018;552;
23.01.2018;15 - 16;22;525;1106;567;
23.01.2018;16 - 17;25;532;1146;649;
23.01.2018;17 - 18;25;535;1250;766;
23.01.2018;18 - 19;16;560;1326;803;
23.01.2018;19 - 20;14;570;1415;872;
23.01.2018;20 - 21;9;632;1450;923;
23.01.2018;21 - 22;9;667;1549;1027;
23.01.2018;22 - 23;12;656;1660;1166;
23.01.2018;23 - 00;31;701;1740;1281;
24.01.2018;00 - 01;45;770;1773;1333;
24.01.2018;01 - 02;60;824;1775;1377;
24.01.2018;02 - 03;69;787;1748;1380;
24.01.2018;03 - 04;71;832;1777;1377;
24.01.2018;04 - 05;70;828;1771;1330;
24.01.2018;05 - 06;84;786;1747;1254;
24.01.2018;06 - 07;95;650;1721;1132;
24.01.2018;07 - 08;97;506;1647;1077;
24.01.2018;08 - 09;90;469;1579;1091;
24.01.2018;09 - 10;94;476;1521;1094;
24.01.2018;10 - 11;107;450;1592;1100;
24.01.2018;11 - 12;120;393;1552;1087;
24.01.2018;12 - 13;126;407;1542;1150;
24.01.2018;13 - 14;116;450;1627;1187;
24.01.2018;14 - 15;107;615;1633;1277;
24.01.2018;15 - 16;107;663;1763;1334;
24.01.2018;16 - 17;86;742;1902;1396;
24.01.2018;17 - 18;72;852;1986;1431;
24.01.2018;18 - 19;74;1060;2051;1446;
24.01.2018;19 - 20;50;1225;2071;1439;
24.01.2018;20 - 21;44;1294;2059;1452;
24.01.2018;21 - 22;50;1352;2037;1355;
24.01.2018;22 - 23;50;1396;2032;1329;
24.01.2018;23 - 00;67;1482;2020;1330;
25.01.2018;00 - 01;101;1459;2018;1277;
25.01.2018;01 - 02;130;1441;2020;1236;
25.01.2018;02 - 03;105;1386;2006;1232;
25.01.2018;03 - 04;72;1456;1985;1221;
25.01.2018;04 - 05;78;1432;1984;1215;
25.01.2018;05 - 06;116;1357;1977;1193;
25.01.2018;06 - 07;118;1228;1981;1142;
25.01.2018;07 - 08;99;1131;1978;1128;
25.01.2018;08 - 09;62;1125;1966;1096;
25.01.2018;09 - 10;47;1232;1962;1025;
25.01.2018;10 - 11;35;1263;1937;1004;
25.01.2018;11 - 12;33;1300;1922;993;
25.01.2018;12 - 13;39;1396;1917;954;
25.01.2018;13 - 14;52;1419;1854;938;
25.01.2018;14 - 15;64;1475;1777;859;
25.01.2018;15 - 16;81;1587;1749;705;
25.01.2018;16 - 17;84;1598;1765;618;
25.01.2018;17 - 18;91;1548;1718;669;
25.01.2018;18 - 19;99;1514;1673;698;
25.01.2018;19 - 20;106;1489;1655;722;
25.01.2018;20 - 21;119;1436;1558;673;
25.01.2018;21 - 22;132;1456;1482;620;
25.01.2018;22 - 23;149;1523;1450;551;
25.01.2018;23 - 00;179;1393;1410;534;
26.01.2018;00 - 01;147;1237;1263;463;
26.01.2018;01 - 02;192;1263;1143;381;
